Product,Specific Gravity,Purpose
PROTECTOMAGIC M,1.250,Shale Control
PT-3500,0.830,Base Oil
PYRO-TROL,1.400,HTHP Filtration
PYRO-VIS,0.650,Other 
Radiagreen RA,1.100,Drill-in Additive 
REV DUST,2.600,Rheology / Filtration
RHEO-CLAY,1.700,Rheology / Filtration 
RHEO-CLAY PLUS,1.700,Rheology / Filtration 
RHEO-LINE,0.960,Rheology / Filtration 
RHEO-LINE HT,0.960,Rheology / Filtration 
RHEO-PLEX,1.000,Rheology / Filtration 
RHEO-SWEEP,0.850,Rheology / Filtration
S-90,0.900,Other 
SA 58,0.875,Other 
SALT WATER GEL,2.400,Rheology / Filtration
SAPP,1.900,Deflocculant
Saraline 185V,0.790,Base Oils 
SARAPAR 147,0.770,Base Oil
SARLINE 200,0.790,Base Oil
SASOL,0.780,Base Oil
SCALE-BAN,1.180,Corrosion Inhibitor
SCI-STIM,1.050,Drill-in Additive 
Sea Mud,2.600,Viscosifier
SeaSalt,2.165,Salt
Seawater,1.025,Brine
SHALE-BOND,1.100,Shale Control
SiCAP,1.400,Shale Control
SiMIX,1.000,Emulsifier
SiMIX-100,1.020,Emulsifier
SIP 1/0,0.816,Base Oil
SIP 4/0,0.830,Base Oil
SiPHATE,1.690,Other 
SODA ASH,2.509,pH Control
SODIUM BICARBONATE,2.160,Other 
SODIUM CARBONATE,2.509,pH Control
Sodium Formate,1.920,Drill-in Additive 
Sodium Hydroxide,2.130,pH Control
SOLTEX,0.980,Other 
Soltex,1.540,Rheology / Filtration
SOLUFLAKE,2.710,LCM
SOLUFLOW,2.160,LCM
SOLU-SQUEEZ,2.614,LCM
Soybean Oil,0.917,Base Oil
Spruso,0.960,Other 
SSTCM Lube R Plus,0.960,Lubricant 
STA-THIN 50,1.120,Deflocculant
STA-THIN 55,1.120,Deflocculant
STICK-LESS,2.480,Other 
SULFATROL,1.640,HTHP Filtration
SULFATROL K,1.620,HTHP Filtration
SUPER BLEND (CF 2002),0.811,Base Oil
SUPER-COL,2.600,Rheology / Filtration
SURDYNE B140,0.805,Base Oil
SURDYNE B200,0.785,Base Oil
Sure Mul EH,0.940,Emulsifier 
SureWet,0.900,Emulsifier 
SURF-COTE,0.980,Emulsifier
SYN-DRILL E51,0.852,Base Oil
SYN-TEQ,0.790,Base Oil
TCM ES 11-11-11,0.860,Emulsifier 
TCM ES 1-1-17,0.900,Emulsifier 
TEQ-LUBE,1.027,Lubricant/ROP
TEQ-LUBE II,1.100,Lubricant/ROP
TEQ-MIX,2.930,Other 
TEQ-MUL,0.928,Emulsifier
TERRA-COAT,1.030,Other 
TERRA-RATE,0.761,ROP
TETRA D-111,0.990,Emulsifier
TETRAHIB PLUS,1.390,Other 
Thixatrol DW,1.000,Rheology / Filtration 
Thixatrol DW 100,0.960,Emulsifier 
TIMREX G98/10,2.250,Lubricant 
TIMREX LB1300,1.170,Lubricant 
TIMREX PP44,2.250,Lubricant 
TIMREX SFG15,2.250,Lubricant 
TIMREX T15,2.250,Lubricant 
Total Dev 2004-14,0.843,Base Oils 
TOTAL DF1,0.806,Base Oil
Triazine 98,1.040,Biocide 
Triethanolamine,1.130,Other 
UNI-CAL,1.350,Deflocculant
UNI-CAL CF,1.350,Deflocculant
Unitech Dynagel 21,1.700,Rheology / Filtration
Vassa LP-90,0.820,Base Oils 
VEN FYBER,1.600,LCM
VenChem 215,1.500,Rheology/Filtration
W. O. DEFOAM,0.910,Defoamer
W.O. 21 L,0.980,Rheology / Filtration
W.O. 21 LE,1.100,Rheology / Filtration
W.O. 30,2.710,Weight
W-200,1.450,Rheology / Filtration
W-306,1.000,Other 
W-307,1.000,Other 
W-309,1.700,HTHP Filtration 
W-311,1.500,Rheology / Filtration
W-312,1.500,Rheology / Filtration
WALNUT SHELLS,1.000,LCM
Water,1.000,Other 
XAN-PLEX,1.500,Rheology / Filtration
XANPLEX D,1.500,Rheology / Filtration
X-CIDE 207,1.000,Biocide
X-CIDE® 102,1.000,Biocide
XKB-LIG,1.550,Deflocculant
X-LINK,1.200,LCM
X-LINK ACR,1.400,LCM
X-LINK RTR,1.323,LCM
XPR 113,1.030,Rheology / Filtration 
Zinc bromide/Calcium Bromide,4.230,Salinity
Zinc Carbonate,3.600,H2S Scavenger
ALFA MUL,0.950,Emulsifier 
Alfa Mul NT 501,0.959,Emulsifier 
ALFA SURF,0.930,Emulsifier 
BIO-COTE,0.910,Emulsifier
Carbo Mul TH,0.886,Emulsifier 
CARBO-MIX,0.950,Emulsifier
CARBO-MUL,0.926,Emulsifier
CARBO-MUL HT,0.934,Emulsifier
CARBO-MUL HT/Smooth Fluid,0.873,Emulsifier
CARBO-MUL LT,0.900,Emulsifier
CARBO-MUL Plus,0.980,Emulsifier
CARBO-MUL R,0.950,Emulsifier
CARBO-TEC,0.950,Emulsifier
CARBO-TEC L,0.950,Emulsifier
CARBO-TEC LT,0.934,Emulsifier
CARBO-TEC Plus,0.980,Emulsifier
CARBO-TEC S,0.947,Rheology/Emulsification
DFE-459,0.950,Emulsifier
DFE-461,0.934,Emulsifier
DFE-468,0.960,Emulsifier 
DFE-470,0.880,Emulsifier 
ECCO-MUL,0.899,Emulsifier
ECCO-MUL E,0.870,Emulsifier
ECCO-TEC,0.910,Emulsifier
Epi Mul 4080,0.950,Emulsifier 
FL 1790,1.010,Filtration Control
Gumpro Emulsifier Powder,0.750,Emulsifier 
KRONOMUL CW,0.940,Emulsifier 
KRONOMUL HP,0.920,Emulsifier 
Magma Vert TH,0.899,Emulsifier 
MAGMA-VERT,0.980,Emulsifier 
MAGMA-VERT/Smooth Fluid,0.900,Emulsifier 
Mul HT Plus,0.940,Emulsifier 
Mul XT,0.960,Emulsifier 
NEXT-MUL,0.935,Emulsifier 
OMNI-MUL,0.928,Emulsifier
OMNI-MUL E,0.961,Emulsifier
OMNI-MUL II,0.928,Emulsifier 
OMNI-TEC,0.980,Emulsifier
OMNI-VERT,0.980,Emulsifier 
OMNI-VERT MOD,0.980,Emulsifier 
PETRHOSPEC DC-1,1.000,Emulsifier
RHEO-LINE,0.960,Rheology / Filtration 
RHEO-LINE HT,0.960,Rheology / Filtration 
RHEO-PLEX,1.000,Rheology / Filtration 
SiMIX,1.000,Emulsifier
SiMIX-100,1.020,Emulsifier
Sure Mul EH,0.940,Emulsifier 
SureWet,0.900,Emulsifier 
SURF-COTE,0.980,Emulsifier
TCM ES 11-11-11,0.860,Emulsifier 
TCM ES 1-1-17,0.900,Emulsifier 
TEQ-MUL,0.928,Emulsifier
Thixatrol DW 100,0.960,Emulsifier 
